#Elapsed Time (secs),Bytes Received,Requests Serviced, Requests Failed, Comment
   0.25098,       1034,          0,          0, (null)
   0.25584,       1034,          1,          0, /courses/ud923/filecorpus/1kb-sample-file-1.html
   0.53968,       2107,          1,          0, (null)
   0.54374,       2107,          2,          0, /courses/ud923/filecorpus/1kb-sample-file-2.png
   0.81890,       3402,          2,          0, (null)
   0.82291,       3402,          3,          0, /courses/ud923/filecorpus/1kb-sample-file-3.jpg
   1.07829,       4675,          3,          0, (null)
   1.08278,       4675,          4,          0, /courses/ud923/filecorpus/1kb-sample-file-4.png
   1.96814,       8752,          4,          0, (null)
   1.96824,      12848,          4,          0, (null)
   1.96825,      16944,          4,          0, (null)
   1.96825,      21040,          4,          0, (null)
   1.96826,      25136,          4,          0, (null)
   1.96826,      29232,          4,          0, (null)
   1.96827,      33328,          4,          0, (null)
   1.96827,      37424,          4,          0, (null)
   1.96828,      41520,          4,          0, (null)
   1.96828,      45616,          4,          0, (null)
   1.96829,      49712,          4,          0, (null)
   1.96829,      53808,          4,          0, (null)
   1.96830,      57904,          4,          0, (null)
   1.96830,      62000,          4,          0, (null)
   1.96830,      66096,          4,          0, (null)
   1.96831,      70192,          4,          0, (null)
   1.96831,      74288,          4,          0, (null)
   1.96832,      78384,          4,          0, (null)
   1.96832,      82480,          4,          0, (null)
   1.96833,      86576,          4,          0, (null)
   1.96833,      90672,          4,          0, (null)
   1.96834,      94768,          4,          0, (null)
   1.96834,      98864,          4,          0, (null)
   1.96835,     102960,          4,          0, (null)
   1.96835,     107056,          4,          0, (null)
   1.96836,     111152,          4,          0, (null)
   1.96837,     115248,          4,          0, (null)
   1.96837,     119344,          4,          0, (null)
   1.96838,     123440,          4,          0, (null)
   1.96838,     127536,          4,          0, (null)
   1.96839,     131632,          4,          0, (null)
   1.96839,     135728,          4,          0, (null)
   1.96840,     139824,          4,          0, (null)
   1.96840,     143920,          4,          0, (null)
   1.96841,     148016,          4,          0, (null)
   1.96841,     152112,          4,          0, (null)
   1.96842,     156208,          4,          0, (null)
   1.96842,     160304,          4,          0, (null)
   1.96843,     164400,          4,          0, (null)
   1.96843,     168496,          4,          0, (null)
   1.96844,     172592,          4,          0, (null)
   1.96844,     176688,          4,          0, (null)
   1.96844,     180784,          4,          0, (null)
   1.96845,     184880,          4,          0, (null)
   1.96845,     188976,          4,          0, (null)
   1.96846,     193072,          4,          0, (null)
   1.96846,     197168,          4,          0, (null)
   1.96847,     201264,          4,          0, (null)
   1.96847,     205360,          4,          0, (null)
   1.96848,     209456,          4,          0, (null)
